station_id,name,river,lat,lon,elev
249170080,Dzierżkowice,Opawa (112),49.992222,17.846389,270.0
249180010,Pszczyna,Pszczynka (2116),49.995556,18.919167,270.0
249180020,Warszowice,Pszczynka (2116),49.991944,18.705556,270.0
249180030,Chałupki,Odra (1),49.925833,18.327500,198.0
249180070,Mazańcowice,Wapienica (21128),49.862500,18.969444,269.0
249180090,Rudzica,Iłownica (2112),49.853333,18.882500,337.0
249180130,Cieszyn,Olza (114),49.754167,18.648333,295.0
249180150,Wapienica,Wapienica (21128),49.773611,18.973333,456.0
249180160,BRENNA,Brennica (21114),49.753611,18.870833,350.0
249180170,Błatnia,Brennica (21114),49.746944,18.942500,882.0
249180180,"Równica, wieś",Wisła (2),49.719722,18.852500,768.0
249180210,SZCZYRK,Żylica (213274),49.705556,19.021389,593.0
249180220,CZANTORIA,Wisła (2),49.683333,18.819722,842.0
249180230,WISŁA,Wisła (2),49.654722,18.861389,430.0
249180240,WISŁA-MALINKA,Wisła (2),49.644722,18.967500,685.0
249180260,ISTEBNA-KUBALONKA,Olza (114),49.603611,18.901111,780.0
249180270,Istebna Młoda-Góra,Olza (114),49.580556,18.861944,786.0
249180280,ISTEBNA-STECÓWKA,Olza (114),49.585278,18.940278,735.0
249180390,BRENNA Leśnica,Brennica (21114),49.710000,18.903056,426.0
249180410,ISTEBNA-WIEŚ,Olza (114),49.568889,18.892222,578.0
249180520,RUDZICA,Iłownica (2112),49.853889,18.880833,345.0
249180530,ISTEBNA-STECÓWKA,Olza (114),49.584722,18.937778,725.0
249180550,Cieszyn,Olza (114),49.775000,18.609167,255.0
249180570,Międzyrzecze Górne,Wapienica (21128),49.839444,18.928333,312.0
249180580,Goczałkowice-Zdrój,Wisła (2),49.938333,18.933889,259.0
249180590,Ruptawa,Olza (114),49.936667,18.589444,230.0
249180620,Kończyce Małe,Piotrówka (1146),49.852222,18.638889,242.0
249180630,Kiczyce,Wisła (2),49.821667,18.799722,283.0
249180640,Brenna-Brennica,Brennica (21114),49.723333,18.907500,403.0
249190010,JAWISZOWICE,Wisła (2),49.959722,19.141944,260.0
249190030,LIBERTÓW,Wilga (21372),49.972500,19.895000,318.0
249190050,RADZISZÓW,Skawinka (21356),49.939722,19.809167,222.0
249190060,SIEPRAW,Skawinka (21356),49.904722,19.964722,267.0
249190080,WADOWICE,Skawa (2134),49.881944,19.518611,259.0
249190090,INWAŁD,Wieprzówka (21348),49.867222,19.388611,350.0
249190130,MIĘDZYBRODZIE BIALSKIE,Soła (2132),49.789444,19.196111,328.0
249190140,LESKOWIEC,Skawa (2134),49.795556,19.446667,872.0
249190150,STRÓŻA,Raba (2138),49.796389,19.917500,330.0
249190170,BOGDANÓWKA,Krzczonówka (213836),49.759444,19.788056,812.0
249190190,MAKÓW PODH.,Skawa (2134),49.725833,19.688056,361.0
249190210,ŁODYGOWICE,Żylica (213274),49.724167,19.160278,375.0
249190220,ŚLEMIEŃ,Łękawica (13498),49.717500,19.353056,447.0
249190230,Lubień,Lubieńka (213834),49.720833,19.970000,429.0
249190240,LACHOWICE KRALE,Stryszawka (21346),49.688333,19.417778,616.0
249190270,Osielec,Skawa (2134),49.678889,19.738889,439.0
249190280,KRZECZÓW,Lubieńka (213834),49.683611,19.910000,548.0
249190290,Lipowa,Soła (2132),49.666111,19.076667,530.0
249190310,Pewel Mała,Koszarawa (21324),49.660833,19.305833,425.0
249190320,LUBOŃ WIELKI,Lubieńka (213834),49.653333,19.992222,1021.0
249190340,KOSZARAWA,Soła (2132),49.655833,19.404444,595.0
249190350,ZAWOJA,Skawica (21344),49.611667,19.518611,697.0
249190380,Kamesznica,Bystra (213232),49.570000,19.064444,470.0
249190390,MARKOWE SZCZAWINY,Skawica (21344),49.587500,19.516389,1193.0
249190410,MILÓWKA,Soła (2132),49.559167,19.079444,485.0
249190420,Żabnica,Żabniczanka (213234),49.560833,19.187500,585.0
249190430,SOPOTNIA WIELKA,Koszarawa (21324),49.581667,19.299444,745.0
249190440,KORBIELÓW,Koszarawa (21324),49.568611,19.348333,650.0
249190460,SPYTKOWICE GÓRNE,Skawa (2134),49.564444,19.761667,639.0
249190470,Raba Wyżna,Raba (2138),49.564722,19.881667,536.0
249190480,LALIKI,Soła (2132),49.544722,19.016111,680.0
249190520,OBIDOWA,Raba (2138),49.544167,19.968611,805.0
249190530,PILSKO,Koszarawa (21324),49.541111,19.318333,1278.0
249190540,RAJCZA,Soła (2132),49.506111,19.105278,495.0
249190560,JABŁONKA,Piekielnik (82224),49.472222,19.695833,614.0
249190580,RYCERKA GÓRNA,Soła (2132),49.426389,19.008333,710.0
249190610,RATUŁÓW,Wielki Rogoźnik (214116),49.391667,19.883611,679.0
249190620,BAŃSKA WYŻNA,Biały Dunajec (21412),49.384167,19.973333,896.0
249190630,WITÓW,Dunajec (214),49.327500,19.825000,822.0
249190640,NOWE BYSTRE,Wielki Rogoźnik (214116),49.332222,19.929167,870.0
249190660,KOŚCIELISKO-KIRY,Kirowa Woda (214112),49.277500,19.869444,922.0
249190670,POLANA CHOCHOŁ.,Dunajec (214),49.236944,19.788611,1145.0
249190680,HALA ORNAK,Kirowa Woda (214112),49.229167,19.859444,1109.0
249190750,Soblówka,Woda Ujsolska (21322),49.437500,19.148333,702.0
249190770,Straconka,Biała (2114),49.793889,19.107222,450.0
249190780,Gubałówka,Biały Dunajec (21412),49.305556,19.929722,1123.0
249190790,Ratułów,Wielki Rogoźnik (214116),49.391667,19.884167,679.0
249190810,Kalwaria Zebrzydowska.,Cedron (213568),49.870000,19.685278,312.0
249190820,Koszarawa,Koszarawa (21324),49.672222,19.413889,671.0
249190830,Kościelisko-Kiry,Kirowa Woda (214112),49.277778,19.870833,933.0
249190840,Rajcza,Soła (2132),49.508056,19.115278,505.0
249190850,Rycerka Górna,Soła (2132),49.425833,19.008056,720.0
249190860,Soblówka,Woda Ujsolska (21322),49.456667,19.145278,620.0
249190870,Ślemień,Łękawica (13498),49.715833,19.374444,480.0
249190880,Wadowice,Skawa (2134),49.877222,19.511111,265.0
249190890,RADZIECHOWY,Soła (2132),49.648611,19.155556,395.0
249190920,LIPNICA WIELKA,Czarna Orawa (8222),49.537778,19.545278,819.0
249190960,Budzów,Paleczka (2134732),49.773889,19.659444,342.0
249190970,Sidzina,Bystrzanka (21342),49.619444,19.726944,546.0
249190980,Sucha Beskidzka,Skawa (2134),49.753889,19.605833,324.0
249190990,Jordanów,Skawa (2134),49.643056,19.841667,534.0
249191020,Skawica,Skawica (21344),49.686389,19.666944,409.0
249191030,Kopytówka,Wisła (2),49.933611,19.636111,309.0
249200020,ŁAZY,Wisła (2),49.965278,20.495278,245.0
249200050,STRADOMKA,Stradomka (21388),49.920833,20.309167,226.0
249200060,Gnojnik,Uszwica (21396),49.895278,20.588333,310.0
249200070,DOBCZYCE,Raba (2138),49.877500,20.070556,308.0
249200080,Łapanów,Stradomka (21388),49.875278,20.283611,265.0
249200110,JODŁOWNIK,Stradomka (21388),49.770833,20.224722,384.0
249200120,ROZDZIELE,Stradomka (21388),49.785278,20.416111,627.0
249200130,JASTRZĘBIA,Biała (2148),49.786389,20.896389,288.0
249200140,WĘGLÓWKA,Raba (2138),49.750278,20.074444,512.0
249200180,LIMANOWA,Łososina (21472),49.693611,20.418333,515.0
249200210,PÓŁRZECZKI,Łososina (21472),49.652500,20.215000,650.0
249200220,ROZTOKA,Dunajec (214),49.640278,20.383333,815.0
249200230,GRYBÓW,Biała (2148),49.619722,20.948056,335.0
249200240,PTASZKOWA,Biała (2148),49.600278,20.886667,520.0
249200250,JASIONÓW,Raba (2138),49.589722,20.025833,742.0
249200260,ŁĄCKO,Dunajec (214),49.559722,20.439444,366.0
249200270,TURBACZ,Dunajec (214),49.544722,20.118056,1273.0
249200280,ŁABOWA,Kamienica (21432),49.526111,20.858611,455.0
249200290,OCHOTNICA GÓRNA,Dunajec (214),49.510278,20.244722,617.0
249200310,KOWANIEC,Dunajec (214),49.490833,20.046944,623.0
249200320,ŁOPUSZNA,Dunajec (214),49.474167,20.123611,570.0
249200330,STUDZIONKI,Dunajec (214),49.495278,20.211944,904.0
249200340,DĘBNO,Białka (214154),49.465833,20.209444,536.0
249200350,HUTA,Poprad (2142),49.465000,20.956667,756.0
249200360,MIZERNA,Dunajec (214),49.455278,20.281944,570.0
249200370,KROŚCIENKO,Dunajec (214),49.445556,20.431667,435.0
249200380,SZAFLARY,Biały Dunajec (21412),49.424722,20.030833,643.0
249200420,NIEDZICA,Niedziczanka (214172),49.417778,20.315833,534.0
